Antal nya cancerfall per 100 000 personer (crude rate), Ålder: 0-85+, Diagnos:191 Tumör i huden, ej malignt melanom, oavsett tumörtyp
År;Region;Ålder;Män;Kvinnor
2015;Kronobergs län;70­74;583,44;246,79
2015;Kronobergs län;75­79;685,85;428,38
2015;Kronobergs län;80­84;816,68;484,73
2015;Kronobergs län;85+;2 009,35;393,24
2015;Kalmar län;0­4;0,00;0,00
2015;Kalmar län;5­9;0,00;0,00
2015;Kalmar län;10­14;0,00;0,00
2015;Kalmar län;15­19;0,00;0,00
2015;Kalmar län;20­24;0,00;0,00
2015;Kalmar län;25­29;0,00;0,00
2015;Kalmar län;30­34;0,00;0,00
2015;Kalmar län;35­39;0,00;0,00
2015;Kalmar län;40­44;0,00;0,00
2015;Kalmar län;45­49;0,00;13,03
2015;Kalmar län;50­54;0,00;13,08
2015;Kalmar län;55­59;53,05;0,00
2015;Kalmar län;60­64;75,52;90,52
2015;Kalmar län;65­69;80,87;34,93
2015;Kalmar län;70­74;206,19;109,39
2015;Kalmar län;75­79;263,45;235,21
2015;Kalmar län;80­84;399,69;328,14
2015;Kalmar län;85+;1 024,14;482,12
2015;Gotlands län;0­4;0,00;0,00
2015;Gotlands län;5­9;0,00;0,00
2015;Gotlands län;10­14;0,00;0,00
2015;Gotlands län;15­19;0,00;0,00
2015;Gotlands län;20­24;0,00;0,00
2015;Gotlands län;25­29;0,00;0,00
2015;Gotlands län;30­34;0,00;0,00
2015;Gotlands län;35­39;0,00;68,89
2015;Gotlands län;40­44;0,00;0,00
2015;Gotlands län;45­49;0,00;51,32
2015;Gotlands län;50­54;52,60;0,00
2015;Gotlands län;55­59;49,69;100,15
2015;Gotlands län;60­64;0,00;0,00
2015;Gotlands län;65­69;137,87;231,91
2015;Gotlands län;70­74;275,10;164,20
2015;Gotlands län;75­79;343,20;389,11
2015;Gotlands län;80­84;1 220,34;709,58
2015;Gotlands län;85+;836,82;625,28
2015;Blekinge län;0­4;0,00;0,00
2015;Blekinge län;5­9;0,00;0,00
2015;Blekinge län;10­14;0,00;0,00
2015;Blekinge län;15­19;0,00;0,00
2015;Blekinge län;20­24;0,00;0,00
2015;Blekinge län;25­29;0,00;0,00
2015;Blekinge län;30­34;0,00;0,00
2015;Blekinge län;35­39;0,00;0,00
2015;Blekinge län;40­44;0,00;62,24
2015;Blekinge län;45­49;0,00;19,93
2015;Blekinge län;50­54;19,58;0,00
2015;Blekinge län;55­59;21,42;21,82
2015;Blekinge län;60­64;84,89;61,22
2015;Blekinge län;65­69;95,23;169,16
2015;Blekinge län;70­74;303,39;235,22
2015;Blekinge län;75­79;406,50;164,29
2015;Blekinge län;80­84;748,54;380,52
2015;Blekinge län;85+;640,28;549,01
2015;Skåne län;0­4;0,00;0,00
2015;Skåne län;5­9;0,00;0,00
2015;Skåne län;10­14;0,00;0,00
2015;Skåne län;15­19;0,00;0,00
2015;Skåne län;20­24;0,00;0,00
2015;Skåne län;25­29;0,00;0,00
2015;Skåne län;30­34;0,00;4,84
2015;Skåne län;35­39;4,69;4,85
2015;Skåne län;40­44;6,85;0,00
2015;Skåne län;45­49;9,05;25,50
2015;Skåne län;50­54;38,52;24,52
2015;Skåne län;55­59;32,41;43,48
2015;Skåne län;60­64;72,66;70,84
2015;Skåne län;65­69;128,53;93,18
2015;Skåne län;70­74;331,93;202,31
2015;Skåne län;75­79;612,73;329,02
2015;Skåne län;80­84;1 118,89;444,41
2015;Skåne län;85+;1 287,30;761,77
2015;Hallands län;0­4;0,00;0,00
2015;Hallands län;5­9;0,00;0,00
2015;Hallands län;10­14;0,00;0,00
2015;Hallands län;15­19;0,00;0,00
2015;Hallands län;20­24;0,00;0,00
2015;Hallands län;25­29;0,00;0,00
2015;Hallands län;30­34;0,00;0,00
2015;Hallands län;35­39;0,00;0,00
2015;Hallands län;40­44;0,00;19,35
2015;Hallands län;45­49;27,19;27,69
2015;Hallands län;50­54;48,35;19,50
2015;Hallands län;55­59;42,00;93,62
2015;Hallands län;60­64;194,82;118,47
2015;Hallands län;65­69;291,34;203,33
2015;Hallands län;70­74;414,69;313,32
2015;Hallands län;75­79;742,18;607,95
2015;Hallands län;80­84;1 243,95;756,22
2015;Hallands län;85+;2 526,91;992,34
2015;Västra Götalands län;0­4;0,00;0,00
2015;Västra Götalands län;5­9;0,00;0,00
2015;Västra Götalands län;10­14;0,00;0,00
2015;Västra Götalands län;15­19;0,00;0,00
2015;Västra Götalands län;20­24;0,00;5,36
2015;Västra Götalands län;25­29;0,00;0,00
2015;Västra Götalands län;30­34;0,00;0,00
2015;Västra Götalands län;35­39;0,00;2,00
2015;Västra Götalands län;40­44;9,14;1,89
2015;Västra Götalands län;45­49;7,08;10,92
2015;Västra Götalands län;50­54;3,71;11,48
2015;Västra Götalands län;55­59;32,64;33,09
2015;Västra Götalands län;60­64;43,27;36,33
2015;Västra Götalands län;65­69;170,77;68,04
2015;Västra Götalands län;70­74;356,99;163,49
2015;Västra Götalands län;75­79;534,04;203,22
2015;Västra Götalands län;80­84;851,14;426,79
2015;Västra Götalands län;85+;1 409,44;658,26
2015;Värmlands län;0­4;0,00;0,00
2015;Värmlands län;5­9;0,00;0,00
2015;Värmlands län;10­14;0,00;0,00
2015;Värmlands län;15­19;0,00;0,00
2015;Värmlands län;20­24;0,00;0,00
2015;Värmlands län;25­29;0,00;0,00
2015;Värmlands län;30­34;0,00;0,00
2015;Värmlands län;35­39;0,00;0,00
2015;Värmlands län;40­44;11,58;0,00
2015;Värmlands län;45­49;0,00;0,00
2015;Värmlands län;50­54;10,73;22,39
2015;Värmlands län;55­59;55,85;90,97
2015;Värmlands län;60­64;67,10;22,43
2015;Värmlands län;65­69;114,11;52,91
2015;Värmlands län;70­74;323,35;85,56
2015;Värmlands län;75­79;468,65;351,69
2015;Värmlands län;80­84;870,04;534,71
2015;Värmlands län;85+;1 184,19;467,33
2015;Örebro län;0­4;0,00;0,00
2015;Örebro län;5­9;0,00;0,00
2015;Örebro län;10­14;0,00;0,00
2015;Örebro län;15­19;0,00;0,00
2015;Örebro län;20­24;0,00;0,00
2015;Örebro län;25­29;0,00;10,91
2015;Örebro län;30­34;0,00;0,00
2015;Örebro län;35­39;0,00;0,00
2015;Örebro län;40­44;0,00;10,78
2015;Örebro län;45­49;10,15;21,31
2015;Örebro län;50­54;21,41;0,00
2015;Örebro län;55­59;11,88;35,41
2015;Örebro län;60­64;93,65;23,23
2015;Örebro län;65­69;183,25;146,11
2015;Örebro län;70­74;326,31;245,14
2015;Örebro län;75­79;579,02;234,95
2015;Örebro län;80­84;988,21;495,63
2015;Örebro län;85+;1 441,51;639,56
2015;Västmanlands län;0­4;0,00;0,00
2015;Västmanlands län;5­9;0,00;0,00
2015;Västmanlands län;10­14;0,00;0,00
2015;Västmanlands län;15­19;0,00;0,00
2015;Västmanlands län;20­24;0,00;0,00
2015;Västmanlands län;25­29;0,00;0,00
2015;Västmanlands län;30­34;0,00;0,00
2015;Västmanlands län;35­39;0,00;0,00
2015;Västmanlands län;40­44;0,00;12,24
2015;Västmanlands län;45­49;10,61;11,28
2015;Västmanlands län;50­54;11,17;23,25
2015;Västmanlands län;55­59;12,59;26,43
2015;Västmanlands län;60­64;52,40;38,82
2015;Västmanlands län;65­69;128,79;45,78
2015;Västmanlands län;70­74;227,94;80,02
2015;Västmanlands län;75­79;305,44;110,37
2015;Västmanlands län;80­84;645,16;371,24
2015;Västmanlands län;85+;1 752,75;662,25
2015;Dalarnas län;0­4;0,00;0,00
2015;Dalarnas län;5­9;0,00;0,00
2015;Dalarnas län;10­14;0,00;0,00
2015;Dalarnas län;15­19;0,00;0,00
2015;Dalarnas län;20­24;0,00;0,00
2015;Dalarnas län;25­29;0,00;0,00
2015;Dalarnas län;30­34;0,00;0,00
2015;Dalarnas län;35­39;0,00;0,00
2015;Dalarnas län;40­44;0,00;0,00
2015;Dalarnas län;45­49;0,00;0,00
2015;Dalarnas län;50­54;21,52;11,08
2015;Dalarnas län;55­59;33,04;33,06
2015;Dalarnas län;60­64;31,52;32,73
2015;Dalarnas län;65­69;86,03;78,90
2015;Dalarnas län;70­74;94,65;71,21
2015;Dalarnas län;75­79;348,37;148,58
2015;Dalarnas län;80­84;565,12;269,37
2015;Dalarnas län;85+;1 199,94;451,98
2015;Gävleborgs län;0­4;0,00;0,00
2015;Gävleborgs län;5­9;0,00;0,00
2015;Gävleborgs län;10­14;0,00;0,00
2015;Gävleborgs län;15­19;0,00;0,00
2015;Gävleborgs län;20­24;0,00;0,00
2015;Gävleborgs län;25­29;0,00;12,48
2015;Gävleborgs län;30­34;0,00;0,00
2015;Gävleborgs län;35­39;0,00;0,00
2015;Gävleborgs län;40­44;0,00;0,00
2015;Gävleborgs län;45­49;0,00;21,56
2015;Gävleborgs län;50­54;10,50;32,80
2015;Gävleborgs län;55­59;11,11;45,25
2015;Gävleborgs län;60­64;10,93;33,44
2015;Gävleborgs län;65­69;59,12;58,82
2015;Gävleborgs län;70­74;178,88;141,70
2015;Gävleborgs län;75­79;333,80;97,06
2015;Gävleborgs län;80­84;467,23;230,25
2015;Gävleborgs län;85+;760,59;464,25
2015;Västernorrlands län;0­4;0,00;0,00
2015;Västernorrlands län;5­9;0,00;0,00
2015;Västernorrlands län;10­14;0,00;0,00
2015;Västernorrlands län;15­19;0,00;0,00
2015;Västernorrlands län;20­24;0,00;0,00
2015;Västernorrlands län;25­29;0,00;0,00
2015;Västernorrlands län;30­34;0,00;16,55
2015;Västernorrlands län;35­39;0,00;0,00
2015;Västernorrlands län;40­44;0,00;0,00
2015;Västernorrlands län;45­49;0,00;0,00
2015;Västernorrlands län;50­54;12,59;13,03
2015;Västernorrlands län;55­59;12,51;0,00
2015;Västernorrlands län;60­64;37,18;0,00
2015;Västernorrlands län;65­69;114,44;23,28
2015;Västernorrlands län;70­74;111,65;67,96
2015;Västernorrlands län;75­79;382,41;54,28
2015;Västernorrlands län;80­84;401,36;136,07
2015;Västernorrlands län;85+;557,55;213,36
2015;Jämtlands län;0­4;0,00;0,00
2015;Jämtlands län;5­9;0,00;0,00
2015;Jämtlands län;10­14;0,00;0,00
2015;Jämtlands län;15­19;0,00;0,00
2015;Jämtlands län;20­24;0,00;0,00
2015;Jämtlands län;25­29;0,00;0,00
2015;Jämtlands län;30­34;0,00;0,00
2015;Jämtlands län;35­39;0,00;0,00
2015;Jämtlands län;40­44;0,00;0,00
2015;Jämtlands län;45­49;0,00;0,00
2015;Jämtlands län;50­54;0,00;0,00
2015;Jämtlands län;55­59;24,37;0,00
2015;Jämtlands län;60­64;46,40;24,30
2015;Jämtlands län;65­69;21,61;67,73
2015;Jämtlands län;70­74;188,07;0,00
2015;Jämtlands län;75­79;209,69;36,95
2015;Jämtlands län;80­84;306,94;235,29
2015;Jämtlands län;85+;498,58;353,08
2015;Västerbottens län;0­4;0,00;0,00
2015;Västerbottens län;5­9;0,00;0,00
2015;Västerbottens län;10­14;0,00;0,00
2015;Västerbottens län;15­19;0,00;0,00
2015;Västerbottens län;20­24;0,00;0,00
2015;Västerbottens län;25­29;0,00;0,00
2015;Västerbottens län;30­34;0,00;0,00
2015;Västerbottens län;35­39;0,00;13,54
2015;Västerbottens län;40­44;0,00;0,00
2015;Västerbottens län;45­49;0,00;0,00
2015;Västerbottens län;50­54;0,00;0,00
2015;Västerbottens län;55­59;0,00;12,48
2015;Västerbottens län;60­64;12,33;0,00
2015;Västerbottens län;65­69;35,61;98,63
2015;Västerbottens län;70­74;107,43;43,89
2015;Västerbottens län;75­79;173,84;37,42
2015;Västerbottens län;80­84;355,87;144,21
2015;Västerbottens län;85+;737,86;241,10
2015;Norrbottens län;0­4;0,00;0,00
2015;Norrbottens län;5­9;0,00;0,00
2015;Norrbottens län;10­14;0,00;0,00
2015;Norrbottens län;15­19;0,00;0,00
2015;Norrbottens län;20­24;0,00;0,00
2015;Norrbottens län;25­29;0,00;14,24
2015;Norrbottens län;30­34;0,00;0,00
2015;Norrbottens län;35­39;0,00;0,00
2015;Norrbottens län;40­44;0,00;13,45
2015;Norrbottens län;45­49;0,00;0,00
2015;Norrbottens län;50­54;0,00;0,00
2015;Norrbottens län;55­59;35,30;24,00
2015;Norrbottens län;60­64;11,56;0,00
2015;Norrbottens län;65­69;78,73;45,86
2015;Norrbottens län;70­74;125,71;141,02
2015;Norrbottens län;75­79;138,57;168,18
2015;Norrbottens län;80­84;377,36;89,70
2015;Norrbottens län;85+;505,58;414,51
2014;Riket;0­4;0,00;0,00
2014;Riket;5­9;0,00;0,00
2014;Riket;10­14;0,38;0,00
2014;Riket;15­19;0,36;0,39
2014;Riket;20­24;1,45;0,92
2014;Riket;25­29;0,61;0,64
2014;Riket;30­34;0,65;0,68
2014;Riket;35­39;2,27;2,02
2014;Riket;40­44;3,06;4,71
2014;Riket;45­49;6,40;17,15
2014;Riket;50­54;15,49;16,58
2014;Riket;55­59;31,32;27,17
2014;Riket;60­64;69,67;51,38
2014;Riket;65­69;133,09;88,58
2014;Riket;70­74;245,23;150,43
2014;Riket;75­79;513,30;239,91
2014;Riket;80­84;739,00;346,27
2014;Riket;85+;1 289,09;660,29
2014;Stockholms län;0­4;0,00;0,00
2014;Stockholms län;5­9;0,00;0,00
2014;Stockholms län;10­14;0,00;0,00
2014;Stockholms län;15­19;1,68;1,78
2014;Stockholms län;20­24;0,00;2,85
2014;Stockholms län;25­29;0,00;0,00
2014;Stockholms län;30­34;0,00;0,00
2014;Stockholms län;35­39;1,23;1,27
2014;Stockholms län;40­44;2,42;3,73
2014;Stockholms län;45­49;7,53;11,55
2014;Stockholms län;50­54;18,55;18,97
2014;Stockholms län;55­59;41,08;41,76
2014;Stockholms län;60­64;102,41;72,30
2014;Stockholms län;65­69;151,01;114,84
2014;Stockholms län;70­74;282,19;195,46
2014;Stockholms län;75­79;556,69;284,98
2014;Stockholms län;80­84;822,64;443,08
2014;Stockholms län;85+;1 322,72;723,66
2014;Uppsala län;0­4;0,00;0,00
2014;Uppsala län;5­9;0,00;0,00
2014;Uppsala län;10­14;0,00;0,00
2014;Uppsala län;15­19;0,00;0,00
2014;Uppsala län;20­24;0,00;0,00
2014;Uppsala län;25­29;0,00;0,00
2014;Uppsala län;30­34;0,00;0,00
2014;Uppsala län;35­39;0,00;0,00
2014;Uppsala län;40­44;0,00;0,00
2014;Uppsala län;45­49;17,21;8,65
2014;Uppsala län;50­54;19,13;19,01
2014;Uppsala län;55­59;49,82;29,63
2014;Uppsala län;60­64;41,02;39,75
2014;Uppsala län;65­69;113,23;36,94
2014;Uppsala län;70­74;258,88;190,33
2014;Uppsala län;75­79;615,57;309,77
2014;Uppsala län;80­84;653,70;355,03
2014;Uppsala län;85+;1 015,04;444,96
2014;Södermanlands län;0­4;0,00;0,00
2014;Södermanlands län;5­9;0,00;0,00
2014;Södermanlands län;10­14;0,00;0,00
2014;Södermanlands län;15­19;0,00;0,00
2014;Södermanlands län;20­24;0,00;0,00
2014;Södermanlands län;25­29;0,00;0,00
2014;Södermanlands län;30­34;0,00;0,00
2014;Södermanlands län;35­39;0,00;0,00
2014;Södermanlands län;40­44;0,00;22,43
2014;Södermanlands län;45­49;10,05;0,00
2014;Södermanlands län;50­54;22,10;11,47
2014;Södermanlands län;55­59;23,31;0,00
2014;Södermanlands län;60­64;68,58;0,00
2014;Södermanlands län;65­69;61,21;59,86
2014;Södermanlands län;70­74;223,39;77,53
2014;Södermanlands län;75­79;239,83;54,25
2014;Södermanlands län;80­84;584,44;137,99
2014;Södermanlands län;85+;865,64;480,17
2014;Östergötlands län;0­4;0,00;0,00
2014;Östergötlands län;5­9;0,00;0,00
2014;Östergötlands län;10­14;0,00;0,00
2014;Östergötlands län;15­19;0,00;0,00
2014;Östergötlands län;20­24;0,00;0,00
2014;Östergötlands län;25­29;0,00;0,00
2014;Östergötlands län;30­34;0,00;0,00
2014;Östergötlands län;35­39;0,00;0,00
2014;Östergötlands län;40­44;0,00;7,24
2014;Östergötlands län;45­49;6,54;20,40
2014;Östergötlands län;50­54;14,52;38,16
2014;Östergötlands län;55­59;46,00;7,82
2014;Östergötlands län;60­64;77,34;91,94
2014;Östergötlands län;65­69;147,19;100,69
2014;Östergötlands län;70­74;295,00;154,82
2014;Östergötlands län;75­79;420,85;365,88
2014;Östergötlands län;80­84;847,72;334,50
2014;Östergötlands län;85+;1 304,09;628,66
2014;Jönköpings län;0­4;0,00;0,00
2014;Jönköpings län;5­9;0,00;0,00
2014;Jönköpings län;10­14;0,00;0,00
2014;Jönköpings län;15­19;0,00;0,00
2014;Jönköpings län;20­24;0,00;0,00
2014;Jönköpings län;25­29;0,00;9,89
2014;Jönköpings län;30­34;0,00;0,00
2014;Jönköpings län;35­39;0,00;0,00
2014;Jönköpings län;40­44;0,00;9,21
2014;Jönköpings län;45­49;16,28;8,66
2014;Jönköpings län;50­54;9,10;0,00
2014;Jönköpings län;55­59;9,51;29,92
2014;Jönköpings län;60­64;59,03;9,96
2014;Jönköpings län;65­69;111,59;139,93
2014;Jönköpings län;70­74;370,03;141,03
2014;Jönköpings län;75­79;577,20;209,52
2014;Jönköpings län;80­84;659,15;249,40
2014;Jönköpings län;85+;1 450,27;665,98
2014;Kronobergs län;0­4;0,00;0,00
2014;Kronobergs län;5­9;0,00;0,00
2014;Kronobergs län;10­14;0,00;0,00
2014;Kronobergs län;15­19;0,00;0,00
2014;Kronobergs län;20­24;14,12;0,00
2014;Kronobergs län;25­29;0,00;0,00
2014;Kronobergs län;30­34;0,00;0,00
2014;Kronobergs län;35­39;0,00;0,00
2014;Kronobergs län;40­44;0,00;17,52
2014;Kronobergs län;45­49;0,00;356,36
2014;Kronobergs län;50­54;34,52;36,20
2014;Kronobergs län;55­59;17,71;72,56
2014;Kronobergs län;60­64;68,04;52,09
2014;Kronobergs län;65­69;196,27;17,08
2014;Kronobergs län;70­74;342,91;65,35
2014;Kronobergs län;75­79;587,42;352,69
2014;Kronobergs län;80­84;563,75;320,41
2014;Kronobergs län;85+;1 597,37;503,38
2014;Kalmar län;0­4;0,00;0,00
2014;Kalmar län;5­9;0,00;0,00
2014;Kalmar län;10­14;0,00;0,00
2014;Kalmar län;15­19;0,00;0,00
2014;Kalmar län;20­24;0,00;0,00
2014;Kalmar län;25­29;0,00;0,00
2014;Kalmar län;30­34;0,00;0,00
2014;Kalmar län;35­39;15,82;0,00
2014;Kalmar län;40­44;0,00;0,00
2014;Kalmar län;45­49;0,00;0,00
2014;Kalmar län;50­54;26,01;40,10
2014;Kalmar län;55­59;39,32;13,03
2014;Kalmar län;60­64;99,77;25,55
2014;Kalmar län;65­69;273,33;69,18
2014;Kalmar län;70­74;321,85;172,62
2014;Kalmar län;75­79;523,78;148,75
2014;Kalmar län;80­84;883,28;327,03
2014;Kalmar län;85+;1 285,11;686,59
2014;Gotlands län;0­4;0,00;0,00
2014;Gotlands län;5­9;0,00;0,00
2014;Gotlands län;10­14;0,00;0,00
2014;Gotlands län;15­19;0,00;0,00
2014;Gotlands län;20­24;0,00;0,00
2014;Gotlands län;25­29;0,00;0,00
2014;Gotlands län;30­34;0,00;0,00
2014;Gotlands län;35­39;0,00;0,00
2014;Gotlands län;40­44;0,00;57,27
2014;Gotlands län;45­49;0,00;0,00
2014;Gotlands län;50­54;0,00;0,00
2014;Gotlands län;55­59;49,25;49,29
2014;Gotlands län;60­64;240,50;49,06
2014;Gotlands län;65­69;92,10;137,80
2014;Gotlands län;70­74;174,52;58,12
2014;Gotlands län;75­79;555,04;405,35
2014;Gotlands län;80­84;693,48;407,33
2014;Gotlands län;85+;1 372,21;1 349,53
2014;Blekinge län;0­4;0,00;0,00
2014;Blekinge län;5­9;0,00;0,00
2014;Blekinge län;10­14;0,00;0,00
2014;Blekinge län;15­19;0,00;0,00
2014;Blekinge län;20­24;0,00;0,00
2014;Blekinge län;25­29;0,00;0,00
2014;Blekinge län;30­34;0,00;0,00
2014;Blekinge län;35­39;0,00;0,00
2014;Blekinge län;40­44;0,00;0,00
2014;Blekinge län;45­49;0,00;0,00
2014;Blekinge län;50­54;20,19;21,76
2014;Blekinge län;55­59;43,05;42,55
2014;Blekinge län;60­64;20,86;80,53
2014;Blekinge län;65­69;148,73;73,90
2014;Blekinge län;70­74;275,10;246,06
2014;Blekinge län;75­79;549,10;113,67
2014;Blekinge län;80­84;772,76;410,22
2014;Blekinge län;85+;1 472,75;559,58
2014;Skåne län;0­4;0,00;0,00
2014;Skåne län;5­9;0,00;0,00
2014;Skåne län;10­14;0,00;0,00
2014;Skåne län;15­19;0,00;0,00
2014;Skåne län;20­24;6,69;2,23
2014;Skåne län;25­29;2,30;0,00
2014;Skåne län;30­34;2,38;4,89
2014;Skåne län;35­39;4,70;4,87
2014;Skåne län;40­44;9,27;2,39
2014;Skåne län;45­49;8,99;13,79
2014;Skåne län;50­54;15,01;12,70
2014;Skåne län;55­59;29,88;16,37
2014;Skåne län;60­64;82,87;51,18
2014;Skåne län;65­69;150,86;79,75
2014;Skåne län;70­74;256,55;147,23
2014;Skåne län;75­79;583,50;308,96
2014;Skåne län;80­84;970,95;424,78
2014;Skåne län;85+;1 244,01;780,14
2014;Hallands län;0­4;0,00;0,00
2014;Hallands län;5­9;0,00;0,00
2014;Hallands län;10­14;10,97;0,00
2014;Hallands län;15­19;0,00;0,00
2014;Hallands län;20­24;0,00;0,00
2014;Hallands län;25­29;0,00;0,00
2014;Hallands län;30­34;0,00;0,00
2014;Hallands län;35­39;0,00;11,13
2014;Hallands län;40­44;0,00;9,72
2014;Hallands län;45­49;17,97;46,02
