Antal nya cancerfall, Ålder: 0-85+, Diagnos:191 Tumör i huden, ej malignt melanom, oavsett tumörtyp
År;Region;Ålder;Män;Kvinnor
2015;Gotlands län;30­34;0;0
2015;Gotlands län;35­39;0;1
2015;Gotlands län;40­44;0;0
2015;Gotlands län;45­49;0;1
2015;Gotlands län;50­54;1;0
2015;Gotlands län;55­59;1;2
2015;Gotlands län;60­64;0;0
2015;Gotlands län;65­69;3;5
2015;Gotlands län;70­74;5;3
2015;Gotlands län;75­79;4;5
2015;Gotlands län;80­84;9;7
2015;Gotlands län;85+;5;7
2015;Blekinge län;0­4;0;0
2015;Blekinge län;5­9;0;0
2015;Blekinge län;10­14;0;0
2015;Blekinge län;15­19;0;0
2015;Blekinge län;20­24;0;0
2015;Blekinge län;25­29;0;0
2015;Blekinge län;30­34;0;0
2015;Blekinge län;35­39;0;0
2015;Blekinge län;40­44;0;3
2015;Blekinge län;45­49;0;1
2015;Blekinge län;50­54;1;0
2015;Blekinge län;55­59;1;1
2015;Blekinge län;60­64;4;3
2015;Blekinge län;65­69;5;9
2015;Blekinge län;70­74;14;11
2015;Blekinge län;75­79;13;6
2015;Blekinge län;80­84;16;10
2015;Blekinge län;85+;11;17
2015;Skåne län;0­4;0;0
2015;Skåne län;5­9;0;0
2015;Skåne län;10­14;0;0
2015;Skåne län;15­19;0;0
2015;Skåne län;20­24;0;0
2015;Skåne län;25­29;0;0
2015;Skåne län;30­34;0;2
2015;Skåne län;35­39;2;2
2015;Skåne län;40­44;3;0
2015;Skåne län;45­49;4;11
2015;Skåne län;50­54;16;10
2015;Skåne län;55­59;12;16
2015;Skåne län;60­64;26;26
2015;Skåne län;65­69;48;36
2015;Skåne län;70­74;105;67
2015;Skåne län;75­79;127;79
2015;Skåne län;80­84;151;81
2015;Skåne län;85+;151;174
2015;Hallands län;0­4;0;0
2015;Hallands län;5­9;0;0
2015;Hallands län;10­14;0;0
2015;Hallands län;15­19;0;0
2015;Hallands län;20­24;0;0
2015;Hallands län;25­29;0;0
2015;Hallands län;30­34;0;0
2015;Hallands län;35­39;0;0
2015;Hallands län;40­44;0;2
2015;Hallands län;45­49;3;3
2015;Hallands län;50­54;5;2
2015;Hallands län;55­59;4;9
2015;Hallands län;60­64;18;11
2015;Hallands län;65­69;29;21
2015;Hallands län;70­74;35;27
2015;Hallands län;75­79;42;38
2015;Hallands län;80­84;45;36
2015;Hallands län;85+;81;57
2015;Västra Götalands län;0­4;0;0
2015;Västra Götalands län;5­9;0;0
2015;Västra Götalands län;10­14;0;0
2015;Västra Götalands län;15­19;0;0
2015;Västra Götalands län;20­24;0;3
2015;Västra Götalands län;25­29;0;0
2015;Västra Götalands län;30­34;0;0
2015;Västra Götalands län;35­39;0;1
2015;Västra Götalands län;40­44;5;1
2015;Västra Götalands län;45­49;4;6
2015;Västra Götalands län;50­54;2;6
2015;Västra Götalands län;55­59;16;16
2015;Västra Götalands län;60­64;20;17
2015;Västra Götalands län;65­69;82;33
2015;Västra Götalands län;70­74;139;66
2015;Västra Götalands län;75­79;138;60
2015;Västra Götalands län;80­84;147;100
2015;Västra Götalands län;85+;210;184
2015;Värmlands län;0­4;0;0
2015;Värmlands län;5­9;0;0
2015;Värmlands län;10­14;0;0
2015;Värmlands län;15­19;0;0
2015;Värmlands län;20­24;0;0
2015;Värmlands län;25­29;0;0
2015;Värmlands län;30­34;0;0
2015;Värmlands län;35­39;0;0
2015;Värmlands län;40­44;1;0
2015;Värmlands län;45­49;0;0
2015;Värmlands län;50­54;1;2
2015;Värmlands län;55­59;5;8
2015;Värmlands län;60­64;6;2
2015;Värmlands län;65­69;11;5
2015;Värmlands län;70­74;25;7
2015;Värmlands län;75­79;25;22
2015;Värmlands län;80­84;32;27
2015;Värmlands län;85+;37;27
2015;Örebro län;0­4;0;0
2015;Örebro län;5­9;0;0
2015;Örebro län;10­14;0;0
