"","years","age","counties","cases","sexInd"
"113",2015,"20-24","Kronoberg",0,"Men"
"114",2015,"25-29","Kronoberg",0,"Men"
"115",2015,"30-34","Kronoberg",0,"Men"
"116",2015,"35-39","Kronoberg",0,"Men"
"117",2015,"40-44","Kronoberg",0,"Men"
"118",2015,"45-49","Kronoberg",15.5,"Men"
"119",2015,"50-54","Kronoberg",0,"Men"
"120",2015,"55-59","Kronoberg",17.83,"Men"
"121",2015,"60-64","Kronoberg",104.07,"Men"
"122",2015,"65-69","Kronoberg",181.41,"Men"
"123",2015,"70-74","Kronoberg",583.44,"Men"
"124",2015,"75-59","Kronoberg",685.85,"Men"
"125",2015,"80-84","Kronoberg",816.68,"Men"
"126",2015,"85+","Kronoberg",2009.35,"Men"
"127",2015,"0-4","Kalmar",0,"Men"
"128",2015,"5-9","Kalmar",0,"Men"
"129",2015,"10-14","Kalmar",0,"Men"
"130",2015,"15-19","Kalmar",0,"Men"
"131",2015,"20-24","Kalmar",0,"Men"
"132",2015,"25-29","Kalmar",0,"Men"
"133",2015,"30-34","Kalmar",0,"Men"
"134",2015,"35-39","Kalmar",0,"Men"
"135",2015,"40-44","Kalmar",0,"Men"
"136",2015,"45-49","Kalmar",0,"Men"
"137",2015,"50-54","Kalmar",0,"Men"
"138",2015,"55-59","Kalmar",53.05,"Men"
"139",2015,"60-64","Kalmar",75.52,"Men"
"140",2015,"65-69","Kalmar",80.87,"Men"
"141",2015,"70-74","Kalmar",206.19,"Men"
"142",2015,"75-59","Kalmar",263.45,"Men"
"143",2015,"80-84","Kalmar",399.69,"Men"
"144",2015,"85+","Kalmar",1024.14,"Men"
"145",2015,"0-4","Gotland",0,"Men"
"146",2015,"5-9","Gotland",0,"Men"
"147",2015,"10-14","Gotland",0,"Men"
"148",2015,"15-19","Gotland",0,"Men"
"149",2015,"20-24","Gotland",0,"Men"
"150",2015,"25-29","Gotland",0,"Men"
"151",2015,"30-34","Gotland",0,"Men"
"152",2015,"35-39","Gotland",0,"Men"
"153",2015,"40-44","Gotland",0,"Men"
"154",2015,"45-49","Gotland",0,"Men"
"155",2015,"50-54","Gotland",52.6,"Men"
"156",2015,"55-59","Gotland",49.69,"Men"
"157",2015,"60-64","Gotland",0,"Men"
"158",2015,"65-69","Gotland",137.87,"Men"
"159",2015,"70-74","Gotland",275.1,"Men"
"160",2015,"75-59","Gotland",343.2,"Men"
"161",2015,"80-84","Gotland",1220.34,"Men"
"162",2015,"85+","Gotland",836.82,"Men"
"163",2015,"0-4","Blekinge",0,"Men"
"164",2015,"5-9","Blekinge",0,"Men"
"165",2015,"10-14","Blekinge",0,"Men"
"166",2015,"15-19","Blekinge",0,"Men"
"167",2015,"20-24","Blekinge",0,"Men"
"168",2015,"25-29","Blekinge",0,"Men"
"169",2015,"30-34","Blekinge",0,"Men"
"170",2015,"35-39","Blekinge",0,"Men"
"171",2015,"40-44","Blekinge",0,"Men"
"172",2015,"45-49","Blekinge",0,"Men"
"173",2015,"50-54","Blekinge",19.58,"Men"
"174",2015,"55-59","Blekinge",21.42,"Men"
"175",2015,"60-64","Blekinge",84.89,"Men"
"176",2015,"65-69","Blekinge",95.23,"Men"
"177",2015,"70-74","Blekinge",303.39,"Men"
"178",2015,"75-59","Blekinge",406.5,"Men"
"179",2015,"80-84","Blekinge",748.54,"Men"
"180",2015,"85+","Blekinge",640.28,"Men"
"181",2015,"0-4","Skåne",0,"Men"
"182",2015,"5-9","Skåne",0,"Men"
"183",2015,"10-14","Skåne",0,"Men"
"184",2015,"15-19","Skåne",0,"Men"
"185",2015,"20-24","Skåne",0,"Men"
"186",2015,"25-29","Skåne",0,"Men"
"187",2015,"30-34","Skåne",0,"Men"
"188",2015,"35-39","Skåne",4.69,"Men"
"189",2015,"40-44","Skåne",6.85,"Men"
"190",2015,"45-49","Skåne",9.05,"Men"
"191",2015,"50-54","Skåne",38.52,"Men"
"192",2015,"55-59","Skåne",32.41,"Men"
"193",2015,"60-64","Skåne",72.66,"Men"
"194",2015,"65-69","Skåne",128.53,"Men"
"195",2015,"70-74","Skåne",331.93,"Men"
"196",2015,"75-59","Skåne",612.73,"Men"
"197",2015,"80-84","Skåne",1118.89,"Men"
"198",2015,"85+","Skåne",1287.3,"Men"
"199",2015,"0-4","Halland",0,"Men"
"200",2015,"5-9","Halland",0,"Men"
"201",2015,"10-14","Halland",0,"Men"
"202",2015,"15-19","Halland",0,"Men"
"203",2015,"20-24","Halland",0,"Men"
"204",2015,"25-29","Halland",0,"Men"
"205",2015,"30-34","Halland",0,"Men"
"206",2015,"35-39","Halland",0,"Men"
"207",2015,"40-44","Halland",0,"Men"
"208",2015,"45-49","Halland",27.19,"Men"
"209",2015,"50-54","Halland",48.35,"Men"
"210",2015,"55-59","Halland",42,"Men"
"211",2015,"60-64","Halland",194.82,"Men"
"212",2015,"65-69","Halland",291.34,"Men"
"213",2015,"70-74","Halland",414.69,"Men"
"214",2015,"75-59","Halland",742.18,"Men"
"215",2015,"80-84","Halland",1243.95,"Men"
"216",2015,"85+","Halland",2526.91,"Men"
"217",2015,"0-4","VästraGötaland",0,"Men"
"218",2015,"5-9","VästraGötaland",0,"Men"
"219",2015,"10-14","VästraGötaland",0,"Men"
"220",2015,"15-19","VästraGötaland",0,"Men"
"221",2015,"20-24","VästraGötaland",0,"Men"
"222",2015,"25-29","VästraGötaland",0,"Men"
"223",2015,"30-34","VästraGötaland",0,"Men"
"224",2015,"35-39","VästraGötaland",0,"Men"
"225",2015,"40-44","VästraGötaland",9.14,"Men"
"226",2015,"45-49","VästraGötaland",7.08,"Men"
"227",2015,"50-54","VästraGötaland",3.71,"Men"
"228",2015,"55-59","VästraGötaland",32.64,"Men"
"229",2015,"60-64","VästraGötaland",43.27,"Men"
"230",2015,"65-69","VästraGötaland",170.77,"Men"
"231",2015,"70-74","VästraGötaland",356.99,"Men"
"232",2015,"75-59","VästraGötaland",534.04,"Men"
"233",2015,"80-84","VästraGötaland",851.14,"Men"
"234",2015,"85+","VästraGötaland",1409.44,"Men"
"235",2015,"0-4","Värmland",0,"Men"
"236",2015,"5-9","Värmland",0,"Men"
"237",2015,"10-14","Värmland",0,"Men"
"238",2015,"15-19","Värmland",0,"Men"
"239",2015,"20-24","Värmland",0,"Men"
"240",2015,"25-29","Värmland",0,"Men"
"241",2015,"30-34","Värmland",0,"Men"
"242",2015,"35-39","Värmland",0,"Men"
"243",2015,"40-44","Värmland",11.58,"Men"
"244",2015,"45-49","Värmland",0,"Men"
"245",2015,"50-54","Värmland",10.73,"Men"
"246",2015,"55-59","Värmland",55.85,"Men"
"247",2015,"60-64","Värmland",67.1,"Men"
"248",2015,"65-69","Värmland",114.11,"Men"
"249",2015,"70-74","Värmland",323.35,"Men"
"250",2015,"75-59","Värmland",468.65,"Men"
"251",2015,"80-84","Värmland",870.04,"Men"
"252",2015,"85+","Värmland",1184.19,"Men"
"253",2015,"0-4","Örebro",0,"Men"
"254",2015,"5-9","Örebro",0,"Men"
"255",2015,"10-14","Örebro",0,"Men"
"256",2015,"15-19","Örebro",0,"Men"
"257",2015,"20-24","Örebro",0,"Men"
"258",2015,"25-29","Örebro",0,"Men"
"259",2015,"30-34","Örebro",0,"Men"
"260",2015,"35-39","Örebro",0,"Men"
"261",2015,"40-44","Örebro",0,"Men"
"262",2015,"45-49","Örebro",10.15,"Men"
"263",2015,"50-54","Örebro",21.41,"Men"
"264",2015,"55-59","Örebro",11.88,"Men"
"265",2015,"60-64","Örebro",93.65,"Men"
"266",2015,"65-69","Örebro",183.25,"Men"
"267",2015,"70-74","Örebro",326.31,"Men"
"268",2015,"75-59","Örebro",579.02,"Men"
"269",2015,"80-84","Örebro",988.21,"Men"
"270",2015,"85+","Örebro",1441.51,"Men"
"271",2015,"0-4","Västmanland",0,"Men"
"272",2015,"5-9","Västmanland",0,"Men"
"273",2015,"10-14","Västmanland",0,"Men"
"274",2015,"15-19","Västmanland",0,"Men"
"275",2015,"20-24","Västmanland",0,"Men"
"276",2015,"25-29","Västmanland",0,"Men"
"277",2015,"30-34","Västmanland",0,"Men"
"278",2015,"35-39","Västmanland",0,"Men"
"279",2015,"40-44","Västmanland",0,"Men"
"280",2015,"45-49","Västmanland",10.61,"Men"
"281",2015,"50-54","Västmanland",11.17,"Men"
"282",2015,"55-59","Västmanland",12.59,"Men"
"283",2015,"60-64","Västmanland",52.4,"Men"
"284",2015,"65-69","Västmanland",128.79,"Men"
"285",2015,"70-74","Västmanland",227.94,"Men"
"286",2015,"75-59","Västmanland",305.44,"Men"
"287",2015,"80-84","Västmanland",645.16,"Men"
"288",2015,"85+","Västmanland",1752.75,"Men"
"289",2015,"0-4","Dalarna",0,"Men"
"290",2015,"5-9","Dalarna",0,"Men"
"291",2015,"10-14","Dalarna",0,"Men"
"292",2015,"15-19","Dalarna",0,"Men"
"293",2015,"20-24","Dalarna",0,"Men"
"294",2015,"25-29","Dalarna",0,"Men"
"295",2015,"30-34","Dalarna",0,"Men"
"296",2015,"35-39","Dalarna",0,"Men"
"297",2015,"40-44","Dalarna",0,"Men"
"298",2015,"45-49","Dalarna",0,"Men"
"299",2015,"50-54","Dalarna",21.52,"Men"
"300",2015,"55-59","Dalarna",33.04,"Men"
"301",2015,"60-64","Dalarna",31.52,"Men"
"302",2015,"65-69","Dalarna",86.03,"Men"
"303",2015,"70-74","Dalarna",94.65,"Men"
"304",2015,"75-59","Dalarna",348.37,"Men"
"305",2015,"80-84","Dalarna",565.12,"Men"
"306",2015,"85+","Dalarna",1199.94,"Men"
"307",2015,"0-4","Gävleborg",0,"Men"
"308",2015,"5-9","Gävleborg",0,"Men"
"309",2015,"10-14","Gävleborg",0,"Men"
"310",2015,"15-19","Gävleborg",0,"Men"
"311",2015,"20-24","Gävleborg",0,"Men"
"312",2015,"25-29","Gävleborg",0,"Men"
"313",2015,"30-34","Gävleborg",0,"Men"
"314",2015,"35-39","Gävleborg",0,"Men"
"315",2015,"40-44","Gävleborg",0,"Men"
"316",2015,"45-49","Gävleborg",0,"Men"
"317",2015,"50-54","Gävleborg",10.5,"Men"
"318",2015,"55-59","Gävleborg",11.11,"Men"
"319",2015,"60-64","Gävleborg",10.93,"Men"
"320",2015,"65-69","Gävleborg",59.12,"Men"
"321",2015,"70-74","Gävleborg",178.88,"Men"
"322",2015,"75-59","Gävleborg",333.8,"Men"
"323",2015,"80-84","Gävleborg",467.23,"Men"
"324",2015,"85+","Gävleborg",760.59,"Men"
"325",2015,"0-4","Västernorrland",0,"Men"
"326",2015,"5-9","Västernorrland",0,"Men"
"327",2015,"10-14","Västernorrland",0,"Men"
"328",2015,"15-19","Västernorrland",0,"Men"
"329",2015,"20-24","Västernorrland",0,"Men"
"330",2015,"25-29","Västernorrland",0,"Men"
"331",2015,"30-34","Västernorrland",0,"Men"
"332",2015,"35-39","Västernorrland",0,"Men"
"333",2015,"40-44","Västernorrland",0,"Men"
"334",2015,"45-49","Västernorrland",0,"Men"
"335",2015,"50-54","Västernorrland",12.59,"Men"
"336",2015,"55-59","Västernorrland",12.51,"Men"
"337",2015,"60-64","Västernorrland",37.18,"Men"
"338",2015,"65-69","Västernorrland",114.44,"Men"
"339",2015,"70-74","Västernorrland",111.65,"Men"
"340",2015,"75-59","Västernorrland",382.41,"Men"
"341",2015,"80-84","Västernorrland",401.36,"Men"
"342",2015,"85+","Västernorrland",557.55,"Men"
"343",2015,"0-4","Jämtland",0,"Men"
"344",2015,"5-9","Jämtland",0,"Men"
"345",2015,"10-14","Jämtland",0,"Men"
"346",2015,"15-19","Jämtland",0,"Men"
"347",2015,"20-24","Jämtland",0,"Men"
"348",2015,"25-29","Jämtland",0,"Men"
"349",2015,"30-34","Jämtland",0,"Men"
"350",2015,"35-39","Jämtland",0,"Men"
"351",2015,"40-44","Jämtland",0,"Men"
"352",2015,"45-49","Jämtland",0,"Men"
"353",2015,"50-54","Jämtland",0,"Men"
"354",2015,"55-59","Jämtland",24.37,"Men"
"355",2015,"60-64","Jämtland",46.4,"Men"
"356",2015,"65-69","Jämtland",21.61,"Men"
"357",2015,"70-74","Jämtland",188.07,"Men"
"358",2015,"75-59","Jämtland",209.69,"Men"
"359",2015,"80-84","Jämtland",306.94,"Men"
"360",2015,"85+","Jämtland",498.58,"Men"
"361",2015,"0-4","Västerbotten",0,"Men"
"362",2015,"5-9","Västerbotten",0,"Men"
"363",2015,"10-14","Västerbotten",0,"Men"
"364",2015,"15-19","Västerbotten",0,"Men"
"365",2015,"20-24","Västerbotten",0,"Men"
"366",2015,"25-29","Västerbotten",0,"Men"
"367",2015,"30-34","Västerbotten",0,"Men"
"368",2015,"35-39","Västerbotten",0,"Men"
"369",2015,"40-44","Västerbotten",0,"Men"
"370",2015,"45-49","Västerbotten",0,"Men"
"371",2015,"50-54","Västerbotten",0,"Men"
"372",2015,"55-59","Västerbotten",0,"Men"
"373",2015,"60-64","Västerbotten",12.33,"Men"
"374",2015,"65-69","Västerbotten",35.61,"Men"
"375",2015,"70-74","Västerbotten",107.43,"Men"
"376",2015,"75-59","Västerbotten",173.84,"Men"
